OBJECTID,Data,Estação,Nome_Estação,Poluente,Classificação,IQAR
159,2014-01-20T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,75
160,2014-01-20T16:00:00.000Z,CG,Campo Grande,O3,Regular,95
161,2014-01-21T16:00:00.000Z,CA,Centro,PI,Boa,34
162,2014-01-21T16:00:00.000Z,SP,Tijuca,PI,Boa,34
163,2014-01-21T16:00:00.000Z,SC,São Cristóvão,O3,Regular,53
164,2014-01-21T16:00:00.000Z,AV,Copacabana,PI,Regular,55
165,2014-01-21T16:00:00.000Z,CG,Campo Grande,O3,Regular,56
166,2014-01-21T16:00:00.000Z,IR,Irajá,O3,Regular,83
167,2014-01-21T16:00:00.000Z,BG,Bangu,O3,Regular,98
168,2014-01-21T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,98
169,2014-01-22T16:00:00.000Z,BG,Bangu,O3,Inadequada,156
170,2014-01-22T16:00:00.000Z,SP,Tijuca,PI,Boa,47
171,2014-01-22T16:00:00.000Z,SC,São Cristóvão,O3,Regular,52
172,2014-01-22T16:00:00.000Z,CA,Centro,O3,Regular,53
173,2014-01-22T16:00:00.000Z,AV,Copacabana,PI,Regular,59
174,2014-01-22T16:00:00.000Z,CG,Campo Grande,O3,Regular,59
175,2014-01-22T16:00:00.000Z,IR,Irajá,O3,Regular,91
176,2014-01-22T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,95
177,2014-01-23T16:00:00.000Z,IR,Irajá,O3,Inadequada,191
178,2014-01-23T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Má,200
179,2014-01-23T16:00:00.000Z,BG,Bangu,O3,Má,203
180,2014-01-23T16:00:00.000Z,CA,Centro,O3,Boa,45
181,2014-01-23T16:00:00.000Z,CG,Campo Grande,O3,Regular,51
182,2014-01-23T16:00:00.000Z,AV,Copacabana,PI,Regular,62
183,2014-01-23T16:00:00.000Z,SC,São Cristóvão,O3,Regular,67
184,2014-01-23T16:00:00.000Z,SP,Tijuca,O3,Regular,81
185,2014-01-24T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Inadequada,104
186,2014-01-24T16:00:00.000Z,BG,Bangu,O3,Inadequada,124
187,2014-01-24T16:00:00.000Z,CA,Centro,PI,Boa,41
188,2014-01-24T16:00:00.000Z,SC,São Cristóvão,O3,Boa,50
189,2014-01-24T16:00:00.000Z,CG,Campo Grande,O3,Regular,59
190,2014-01-24T16:00:00.000Z,AV,Copacabana,PI,Regular,60
191,2014-01-24T16:00:00.000Z,SP,Tijuca,O3,Regular,70
192,2014-01-24T16:00:00.000Z,IR,Irajá,O3,Regular,98
193,2014-01-25T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Inadequada,102
194,2014-01-25T16:00:00.000Z,BG,Bangu,O3,Inadequada,140
195,2014-01-25T16:00:00.000Z,IR,Irajá,O3,Má,201
196,2014-01-25T16:00:00.000Z,SC,São Cristóvão,O3,Boa,46
197,2014-01-25T16:00:00.000Z,CA,Centro,O3,Regular,56
198,2014-01-25T16:00:00.000Z,AV,Copacabana,PI,Regular,60
199,2014-01-25T16:00:00.000Z,SP,Tijuca,O3,Regular,90
200,2014-01-25T16:00:00.000Z,CG,Campo Grande,O3,Regular,93
201,2014-01-26T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Inadequada,114
202,2014-01-26T16:00:00.000Z,SP,Tijuca,O3,Inadequada,116
203,2014-01-26T16:00:00.000Z,IR,Irajá,O3,Inadequada,121
204,2014-01-26T16:00:00.000Z,BG,Bangu,O3,Inadequada,168
205,2014-01-26T16:00:00.000Z,CA,Centro,O3,Boa,40
206,2014-01-26T16:00:00.000Z,AV,Copacabana,PI,Regular,56
207,2014-01-26T16:00:00.000Z,SC,São Cristóvão,O3,Regular,63
208,2014-01-26T16:00:00.000Z,CG,Campo Grande,O3,Regular,82
209,2014-01-27T16:00:00.000Z,IR,Irajá,O3,Inadequada,126
210,2014-01-27T16:00:00.000Z,CA,Centro,PI,Boa,39
211,2014-01-27T16:00:00.000Z,CG,Campo Grande,O3,Regular,59
212,2014-01-27T16:00:00.000Z,SC,São Cristóvão,O3,Regular,61
213,2014-01-27T16:00:00.000Z,AV,Copacabana,PI,Regular,62
214,2014-01-27T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,69
215,2014-01-27T16:00:00.000Z,SP,Tijuca,O3,Regular,92
216,2014-01-27T16:00:00.000Z,BG,Bangu,O3,Regular,92
217,2014-01-28T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Inadequada,158
218,2014-01-28T16:00:00.000Z,BG,Bangu,O3,Má,205
219,2014-01-28T16:00:00.000Z,CA,Centro,PI,Boa,42
220,2014-01-28T16:00:00.000Z,SC,São Cristóvão,O3,Regular,60
221,2014-01-28T16:00:00.000Z,AV,Copacabana,PI,Regular,61
222,2014-01-28T16:00:00.000Z,CG,Campo Grande,O3,Regular,77
223,2014-01-28T16:00:00.000Z,SP,Tijuca,O3,Regular,83
224,2014-01-28T16:00:00.000Z,IR,Irajá,O3,Regular,95
225,2014-01-29T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Inadequada,128
226,2014-01-29T16:00:00.000Z,IR,Irajá,O3,Inadequada,134
227,2014-01-29T16:00:00.000Z,SP,Tijuca,O3,Inadequada,194
228,2014-01-29T16:00:00.000Z,BG,Bangu,O3,Má,204
229,2014-01-29T16:00:00.000Z,CA,Centro,PI,Boa,38
230,2014-01-29T16:00:00.000Z,SC,São Cristóvão,PI,Boa,42
231,2014-01-29T16:00:00.000Z,AV,Copacabana,PI,Regular,59
232,2014-01-29T16:00:00.000Z,CG,Campo Grande,O3,Regular,95
233,2014-01-30T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Má,201
234,2014-01-30T16:00:00.000Z,BG,Bangu,O3,Má,203
235,2014-01-30T16:00:00.000Z,CA,Centro,PI,Boa,41
236,2014-01-30T16:00:00.000Z,SC,São Cristóvão,O3,Regular,55
237,2014-01-30T16:00:00.000Z,AV,Copacabana,PI,Regular,61
238,2014-01-30T16:00:00.000Z,SP,Tijuca,O3,Regular,73
239,2014-01-30T16:00:00.000Z,IR,Irajá,O3,Regular,86
240,2014-01-30T16:00:00.000Z,CG,Campo Grande,O3,Regular,90
241,2014-01-31T16:00:00.000Z,IR,Irajá,O3,Inadequada,153
242,2014-01-31T16:00:00.000Z,BG,Bangu,O3,Má,201
243,2014-01-31T16:00:00.000Z,CA,Centro,PI,Boa,38
244,2014-01-31T16:00:00.000Z,SC,São Cristóvão,O3,Regular,53
245,2014-01-31T16:00:00.000Z,AV,Copacabana,PI,Regular,59
246,2014-01-31T16:00:00.000Z,SP,Tijuca,O3,Regular,72
247,2014-01-31T16:00:00.000Z,CG,Campo Grande,O3,Regular,76
248,2014-01-31T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,79
249,2014-02-01T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Inadequada,127
250,2014-02-01T16:00:00.000Z,BG,Bangu,O3,Má,202
251,2014-02-01T16:00:00.000Z,CA,Centro,PI,Boa,39
252,2014-02-01T16:00:00.000Z,SC,São Cristóvão,PI,Regular,52
253,2014-02-01T16:00:00.000Z,AV,Copacabana,PI,Regular,60
254,2014-02-01T16:00:00.000Z,SP,Tijuca,O3,Regular,66
255,2014-02-01T16:00:00.000Z,IR,Irajá,O3,Regular,84
256,2014-02-01T16:00:00.000Z,CG,Campo Grande,O3,Regular,97
257,2014-02-02T16:00:00.000Z,CG,Campo Grande,O3,Inadequada,105
258,2014-02-02T16:00:00.000Z,BG,Bangu,O3,Má,202
259,2014-02-02T16:00:00.000Z,CA,Centro,O3,Boa,29
260,2014-02-02T16:00:00.000Z,SC,São Cristóvão,PI,Boa,36
261,2014-02-02T16:00:00.000Z,AV,Copacabana,PI,Regular,59
262,2014-02-02T16:00:00.000Z,SP,Tijuca,O3,Regular,72
263,2014-02-02T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,77
264,2014-02-02T16:00:00.000Z,IR,Irajá,O3,Regular,92
265,2014-02-03T16:00:00.000Z,BG,Bangu,O3,Má,200
266,2014-02-03T16:00:00.000Z,CA,Centro,PI,Boa,29
267,2014-02-03T16:00:00.000Z,SC,São Cristóvão,PI,Boa,37
268,2014-02-03T16:00:00.000Z,SP,Tijuca,O3,Regular,61
269,2014-02-03T16:00:00.000Z,AV,Copacabana,PI,Regular,62
270,2014-02-03T16:00:00.000Z,IR,Irajá,O3,Regular,70
271,2014-02-03T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,84
272,2014-02-03T16:00:00.000Z,CG,Campo Grande,O3,Regular,91
273,2014-02-04T16:00:00.000Z,BG,Bangu,O3,Inadequada,191
274,2014-02-04T16:00:00.000Z,CA,Centro,PI,Boa,32
275,2014-02-04T16:00:00.000Z,SC,São Cristóvão,O3,Boa,42
276,2014-02-04T16:00:00.000Z,AV,Copacabana,PI,Regular,59
277,2014-02-04T16:00:00.000Z,IR,Irajá,O3,Regular,65
278,2014-02-04T16:00:00.000Z,SP,Tijuca,O3,Regular,69
279,2014-02-04T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,85
280,2014-02-04T16:00:00.000Z,CG,Campo Grande,O3,Regular,93
281,2014-02-05T16:00:00.000Z,BG,Bangu,O3,Inadequada,128
282,2014-02-05T16:00:00.000Z,IR,Irajá,PI,Boa,34
283,2014-02-05T16:00:00.000Z,CA,Centro,PI,Boa,37
284,2014-02-05T16:00:00.000Z,SC,São Cristóvão,PI,Boa,37
285,2014-02-05T16:00:00.000Z,SP,Tijuca,O3,Boa,40
286,2014-02-05T16:00:00.000Z,AV,Copacabana,PI,Regular,68
287,2014-02-05T16:00:00.000Z,CG,Campo Grande,O3,Regular,79
288,2014-02-05T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,94
289,2014-02-06T16:00:00.000Z,BG,Bangu,O3,Inadequada,128
290,2014-02-06T16:00:00.000Z,IR,Irajá,PI,Boa,33
291,2014-02-06T16:00:00.000Z,SP,Tijuca,O3,Boa,36
292,2014-02-06T16:00:00.000Z,SC,São Cristóvão,PI,Boa,42
293,2014-02-06T16:00:00.000Z,CA,Centro,PI,Boa,44
294,2014-02-06T16:00:00.000Z,AV,Copacabana,PI,Regular,67
295,2014-02-06T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,70
296,2014-02-06T16:00:00.000Z,CG,Campo Grande,O3,Regular,73
297,2014-02-07T16:00:00.000Z,BG,Bangu,O3,Inadequada,113
298,2014-02-07T16:00:00.000Z,CA,Centro,PI,Boa,35
299,2014-02-07T16:00:00.000Z,SC,São Cristóvão,PI,Boa,37
300,2014-02-07T16:00:00.000Z,AV,Copacabana,PI,Regular,60
301,2014-02-07T16:00:00.000Z,SP,Tijuca,O3,Regular,69
302,2014-02-07T16:00:00.000Z,IR,Irajá,O3,Regular,70
303,2014-02-07T16:00:00.000Z,CG,Campo Grande,O3,Regular,78
304,2014-02-07T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,78
305,2014-02-08T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Inadequada,111
306,2014-02-08T16:00:00.000Z,IR,Irajá,O3,Inadequada,125
307,2014-02-08T16:00:00.000Z,BG,Bangu,O3,Inadequada,173
308,2014-02-08T16:00:00.000Z,CA,Centro,PI,Regular,61
309,2014-02-08T16:00:00.000Z,SC,São Cristóvão,PI,Regular,63
310,2014-02-08T16:00:00.000Z,AV,Copacabana,PI,Regular,74
311,2014-02-08T16:00:00.000Z,CG,Campo Grande,O3,Regular,74
312,2014-02-08T16:00:00.000Z,SP,Tijuca,O3,Regular,83
313,2014-02-09T16:00:00.000Z,BG,Bangu,O3,Inadequada,106
314,2014-02-09T16:00:00.000Z,CA,Centro,PI,Boa,49
315,2014-02-09T16:00:00.000Z,SC,São Cristóvão,PI,Regular,51
316,2014-02-09T16:00:00.000Z,CG,Campo Grande,O3,Regular,67
317,2014-02-09T16:00:00.000Z,IR,Irajá,O3,Regular,74
318,2014-02-09T16:00:00.000Z,AV,Copacabana,PI,Regular,75
319,2014-02-09T16:00:00.000Z,SP,Tijuca,O3,Regular,83
320,2014-02-09T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,92
321,2014-02-10T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Inadequada,175
322,2014-02-10T16:00:00.000Z,BG,Bangu,O3,Má,206
323,2014-02-10T16:00:00.000Z,CA,Centro,O3,Boa,50
324,2014-02-10T16:00:00.000Z,SC,São Cristóvão,PI,Regular,57
325,2014-02-10T16:00:00.000Z,AV,Copacabana,PI,Regular,71
326,2014-02-10T16:00:00.000Z,CG,Campo Grande,O3,Regular,79
327,2014-02-10T16:00:00.000Z,SP,Tijuca,O3,Regular,86
328,2014-02-10T16:00:00.000Z,IR,Irajá,O3,Regular,91
329,2014-02-11T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Inadequada,120
330,2014-02-11T16:00:00.000Z,BG,Bangu,O3,Má,205
331,2014-02-11T16:00:00.000Z,CA,Centro,PI,Boa,43
332,2014-02-11T16:00:00.000Z,SC,São Cristóvão,PI,Regular,55
333,2014-02-11T16:00:00.000Z,AV,Copacabana,PI,Regular,74
334,2014-02-11T16:00:00.000Z,SP,Tijuca,O3,Regular,79
335,2014-02-11T16:00:00.000Z,IR,Irajá,O3,Regular,90
336,2014-02-11T16:00:00.000Z,CG,Campo Grande,O3,Regular,96
337,2014-02-12T16:00:00.000Z,IR,Irajá,O3,Inadequada,125
338,2014-02-12T16:00:00.000Z,BG,Bangu,O3,Inadequada,194
339,2014-02-12T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Má,200
340,2014-02-12T16:00:00.000Z,CA,Centro,O3,Boa,48
341,2014-02-12T16:00:00.000Z,SC,São Cristóvão,O3,Regular,64
342,2014-02-12T16:00:00.000Z,AV,Copacabana,PI,Regular,67
343,2014-02-12T16:00:00.000Z,SP,Tijuca,O3,Regular,68
344,2014-02-12T16:00:00.000Z,CG,Campo Grande,O3,Regular,78
345,2014-02-13T16:00:00.000Z,BG,Bangu,O3,Inadequada,166
346,2014-02-13T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Inadequada,167
347,2014-02-13T16:00:00.000Z,CA,Centro,PI,Boa,49
348,2014-02-13T16:00:00.000Z,SC,São Cristóvão,PI,Regular,53
349,2014-02-13T16:00:00.000Z,CG,Campo Grande,O3,Regular,62
350,2014-02-13T16:00:00.000Z,SP,Tijuca,O3,Regular,63
351,2014-02-13T16:00:00.000Z,AV,Copacabana,PI,Regular,65
352,2014-02-13T16:00:00.000Z,IR,Irajá,O3,Regular,79
353,2014-02-14T16:00:00.000Z,BG,Bangu,O3,Má,200
354,2014-02-14T16:00:00.000Z,CA,Centro,PI,Regular,58
355,2014-02-14T16:00:00.000Z,SC,São Cristóvão,O3,Regular,71
356,2014-02-14T16:00:00.000Z,CG,Campo Grande,O3,Regular,71
357,2014-02-14T16:00:00.000Z,AV,Copacabana,PI,Regular,80
358,2014-02-14T16:00:00.000Z,IR,Irajá,O3,Regular,81
359,2014-02-14T16:00:00.000Z,SP,Tijuca,O3,Regular,94
360,2014-02-14T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,94
361,2014-02-15T16:00:00.000Z,CA,Centro,O3,Boa,38
362,2014-02-15T16:00:00.000Z,CG,Campo Grande,O3,Boa,43
363,2014-02-15T16:00:00.000Z,SC,São Cristóvão,PI,Boa,45
364,2014-02-15T16:00:00.000Z,IR,Irajá,O3,Regular,56
365,2014-02-15T16:00:00.000Z,AV,Copacabana,PI,Regular,60
366,2014-02-15T16:00:00.000Z,BG,Bangu,O3,Regular,65
367,2014-02-15T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,66
368,2014-02-15T16:00:00.000Z,SP,Tijuca,O3,Regular,71
369,2014-02-16T16:00:00.000Z,CG,Campo Grande,O3,Boa,43
370,2014-02-16T16:00:00.000Z,CA,Centro,PI,Boa,49
371,2014-02-16T16:00:00.000Z,SC,São Cristóvão,PI,Regular,53
372,2014-02-16T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,57
373,2014-02-16T16:00:00.000Z,IR,Irajá,O3,Regular,59
374,2014-02-16T16:00:00.000Z,BG,Bangu,O3,Regular,59
375,2014-02-16T16:00:00.000Z,SP,Tijuca,O3,Regular,76
376,2014-02-16T16:00:00.000Z,AV,Copacabana,PI,Regular,80
377,2014-02-17T15:00:00.000Z,CA,Centro,PI,Boa,29
378,2014-02-17T15:00:00.000Z,SC,São Cristóvão,PI,Boa,30
379,2014-02-17T15:00:00.000Z,IR,Irajá,O3,Boa,45
380,2014-02-17T15:00:00.000Z,SP,Tijuca,O3,Boa,49
381,2014-02-17T15:00:00.000Z,CG,Campo Grande,O3,Regular,55
382,2014-02-17T15:00:00.000Z,AV,Copacabana,PI,Regular,59
383,2014-02-17T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,60
384,2014-02-17T15:00:00.000Z,BG,Bangu,O3,Regular,61
385,2014-02-18T15:00:00.000Z,SC,São Cristóvão,PI,Boa,21
386,2014-02-18T15:00:00.000Z,SP,Tijuca,O3,Boa,26
387,2014-02-18T15:00:00.000Z,CA,Centro,PI,Boa,27
388,2014-02-18T15:00:00.000Z,IR,Irajá,O3,Boa,35
389,2014-02-18T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Boa,37
390,2014-02-18T15:00:00.000Z,CG,Campo Grande,O3,Boa,44
391,2014-02-18T15:00:00.000Z,AV,Copacabana,PI,Regular,54
392,2014-02-18T15:00:00.000Z,BG,Bangu,O3,Regular,59
393,2014-02-19T15:00:00.000Z,SC,São Cristóvão,PI,Boa,15
394,2014-02-19T15:00:00.000Z,SP,Tijuca,O3,Boa,17
395,2014-02-19T15:00:00.000Z,CA,Centro,PI,Boa,22
396,2014-02-19T15:00:00.000Z,CG,Campo Grande,PI,Boa,23
397,2014-02-19T15:00:00.000Z,IR,Irajá,O3,Boa,26
398,2014-02-19T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Boa,28
399,2014-02-19T15:00:00.000Z,BG,Bangu,O3,Boa,37
400,2014-02-19T15:00:00.000Z,AV,Copacabana,PI,Regular,52
401,2014-02-20T15:00:00.000Z,SP,Tijuca,PI,Boa,30
402,2014-02-20T15:00:00.000Z,SC,São Cristóvão,PI,Boa,32
403,2014-02-20T15:00:00.000Z,CA,Centro,PI,Boa,34
404,2014-02-20T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Boa,45
405,2014-02-20T15:00:00.000Z,IR,Irajá,O3,Regular,52
406,2014-02-20T15:00:00.000Z,AV,Copacabana,PI,Regular,55
407,2014-02-20T15:00:00.000Z,CG,Campo Grande,O3,Regular,63
408,2014-02-20T15:00:00.000Z,BG,Bangu,O3,Regular,83
409,2014-02-21T15:00:00.000Z,IR,Irajá,O3,Inadequada,115
410,2014-02-21T15:00:00.000Z,BG,Bangu,O3,Inadequada,181
411,2014-02-21T15:00:00.000Z,CA,Centro,PI,Boa,39
412,2014-02-21T15:00:00.000Z,SC,São Cristóvão,O3,Boa,45
413,2014-02-21T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Boa,50
414,2014-02-21T15:00:00.000Z,AV,Copacabana,PI,Regular,60
415,2014-02-21T15:00:00.000Z,CG,Campo Grande,O3,Regular,63
416,2014-02-21T15:00:00.000Z,SP,Tijuca,O3,Regular,69
417,2014-02-22T15:00:00.000Z,BG,Bangu,O3,Má,201
418,2014-02-22T15:00:00.000Z,CA,Centro,PI,Boa,42
419,2014-02-22T15:00:00.000Z,SC,São Cristóvão,PI,Boa,44
420,2014-02-22T15:00:00.000Z,SP,Tijuca,O3,Regular,54
421,2014-02-22T15:00:00.000Z,AV,Copacabana,PI,Regular,55
422,2014-02-22T15:00:00.000Z,IR,Irajá,O3,Regular,62
423,2014-02-22T15:00:00.000Z,CG,Campo Grande,O3,Regular,74
424,2014-02-22T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,87
425,2014-02-23T15:00:00.000Z,CA,Centro,PI,Boa,30
426,2014-02-23T15:00:00.000Z,SC,São Cristóvão,PI,Boa,30
427,2014-02-23T15:00:00.000Z,CG,Campo Grande,O3,Boa,42
428,2014-02-23T15:00:00.000Z,AV,Copacabana,PI,Regular,55
429,2014-02-23T15:00:00.000Z,SP,Tijuca,PI,Regular,61
430,2014-02-23T15:00:00.000Z,IR,Irajá,O3,Regular,71
431,2014-02-23T15:00:00.000Z,BG,Bangu,O3,Regular,87
432,2014-02-23T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,88
433,2014-02-24T15:00:00.000Z,CA,Centro,PI,Boa,32
434,2014-02-24T15:00:00.000Z,CG,Campo Grande,O3,Boa,45
435,2014-02-24T15:00:00.000Z,SC,São Cristóvão,O3,Regular,52
436,2014-02-24T15:00:00.000Z,AV,Copacabana,PI,Regular,54
437,2014-02-24T15:00:00.000Z,BG,Bangu,O3,Regular,56
438,2014-02-24T15:00:00.000Z,IR,Irajá,O3,Regular,66
439,2014-02-24T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,72
440,2014-02-24T15:00:00.000Z,SP,Tijuca,O3,Regular,79
441,2014-02-25T15:00:00.000Z,IR,Irajá,O3,Inadequada,127
442,2014-02-25T15:00:00.000Z,BG,Bangu,O3,Má,207
443,2014-02-25T15:00:00.000Z,CA,Centro,PI,Boa,47
444,2014-02-25T15:00:00.000Z,SC,São Cristóvão,O3,Regular,61
445,2014-02-25T15:00:00.000Z,CG,Campo Grande,O3,Regular,64
446,2014-02-25T15:00:00.000Z,AV,Copacabana,PI,Regular,68
447,2014-02-25T15:00:00.000Z,SP,Tijuca,O3,Regular,85
448,2014-02-25T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,99
449,2014-02-26T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Inadequada,117
450,2014-02-26T15:00:00.000Z,BG,Bangu,O3,Má,206
451,2014-02-26T15:00:00.000Z,SC,São Cristóvão,O3,Boa,42
452,2014-02-26T15:00:00.000Z,CA,Centro,PI,Boa,46
453,2014-02-26T15:00:00.000Z,AV,Copacabana,PI,Regular,62
454,2014-02-26T15:00:00.000Z,SP,Tijuca,O3,Regular,64
455,2014-02-26T15:00:00.000Z,IR,Irajá,O3,Regular,85
456,2014-02-26T15:00:00.000Z,CG,Campo Grande,O3,Regular,91
457,2014-02-27T15:00:00.000Z,BG,Bangu,O3,Má,200
458,2014-02-27T15:00:00.000Z,SC,São Cristóvão,PI,Boa,47
459,2014-02-27T15:00:00.000Z,CA,Centro,PI,Boa,48
460,2014-02-27T15:00:00.000Z,AV,Copacabana,PI,Regular,68
461,2014-02-27T15:00:00.000Z,IR,Irajá,O3,Regular,71
462,2014-02-27T15:00:00.000Z,CG,Campo Grande,O3,Regular,73
463,2014-02-27T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,87
464,2014-02-27T15:00:00.000Z,SP,Tijuca,O3,Regular,93
465,2014-02-28T15:00:00.000Z,SC,São Cristóvão,PI,Boa,49
466,2014-02-28T15:00:00.000Z,CA,Centro,PI,Regular,53
467,2014-02-28T15:00:00.000Z,AV,Copacabana,PI,Regular,72
468,2014-02-28T15:00:00.000Z,IR,Irajá,O3,Regular,75
469,2014-02-28T15:00:00.000Z,CG,Campo Grande,O3,Regular,75
470,2014-02-28T15:00:00.000Z,SP,Tijuca,O3,Regular,81
471,2014-02-28T15:00:00.000Z,BG,Bangu,O3,Regular,91
472,2014-02-28T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,92
473,2014-03-01T15:00:00.000Z,SP,Tijuca,O3,Inadequada,117
474,2014-03-01T15:00:00.000Z,CA,Centro,PI,Boa,40
475,2014-03-01T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Boa,48
476,2014-03-01T15:00:00.000Z,CG,Campo Grande,O3,Regular,56
477,2014-03-01T15:00:00.000Z,AV,Copacabana,PI,Regular,60
478,2014-03-01T15:00:00.000Z,SC,São Cristóvão,O3,Regular,72
479,2014-03-01T15:00:00.000Z,IR,Irajá,O3,Regular,79
480,2014-03-01T15:00:00.000Z,BG,Bangu,O3,Regular,83
481,2014-03-02T15:00:00.000Z,CA,Centro,PI,Regular,51
482,2014-03-02T15:00:00.000Z,SC,São Cristóvão,O3,Regular,51
483,2014-03-02T15:00:00.000Z,IR,Irajá,O3,Regular,55
484,2014-03-02T15:00:00.000Z,CG,Campo Grande,O3,Regular,56
485,2014-03-02T15:00:00.000Z,AV,Copacabana,PI,Regular,63
486,2014-03-02T15:00:00.000Z,BG,Bangu,O3,Regular,68
487,2014-03-02T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,74
488,2014-03-02T15:00:00.000Z,SP,Tijuca,O3,Regular,90
489,2014-03-03T15:00:00.000Z,CG,Campo Grande,O3,Boa,47
490,2014-03-03T15:00:00.000Z,CA,Centro,O3,Boa,48
491,2014-03-03T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Boa,49
492,2014-03-03T15:00:00.000Z,SC,São Cristóvão,O3,Regular,53
493,2014-03-03T15:00:00.000Z,AV,Copacabana,PI,Regular,58
494,2014-03-03T15:00:00.000Z,IR,Irajá,O3,Regular,64
495,2014-03-03T15:00:00.000Z,BG,Bangu,O3,Regular,75
496,2014-03-03T15:00:00.000Z,SP,Tijuca,O3,Regular,80
497,2014-03-04T15:00:00.000Z,CA,Centro,O3,Boa,47
498,2014-03-04T15:00:00.000Z,IR,Irajá,O3,Regular,55
499,2014-03-04T15:00:00.000Z,SC,São Cristóvão,O3,Boa,56
500,2014-03-04T15:00:00.000Z,AV,Copacabana,PI,Regular,57
501,2014-03-04T15:00:00.000Z,CG,Campo Grande,O3,Regular,59
502,2014-03-04T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,73
503,2014-03-04T15:00:00.000Z,SP,Tijuca,PI,Regular,76
504,2014-03-04T15:00:00.000Z,BG,Bangu,O3,Regular,91
505,2014-03-05T15:00:00.000Z,CA,Centro,PI,Boa,21
506,2014-03-05T15:00:00.000Z,SC,São Cristóvão,O3,Boa,32
507,2014-03-05T15:00:00.000Z,PG,Pedra de Guaratiba,PI,Boa,40
508,2014-03-05T15:00:00.000Z,CG,Campo Grande,O3,Boa,45
509,2014-03-05T15:00:00.000Z,AV,Copacabana,PI,Regular,51
510,2014-03-05T15:00:00.000Z,IR,Irajá,O3,Regular,61
511,2014-03-05T15:00:00.000Z,BG,Bangu,O3,Regular,76
512,2014-03-05T15:00:00.000Z,SP,Tijuca,PI,Regular,77
513,2014-03-06T15:00:00.000Z,CG,Campo Grande,NO2,Boa,34
514,2014-03-06T15:00:00.000Z,IR,Irajá,PI,Boa,36
515,2014-03-06T15:00:00.000Z,SC,São Cristóvão,PI,Boa,38
516,2014-03-06T15:00:00.000Z,SP,Tijuca,PI,Boa,39
517,2014-03-06T15:00:00.000Z,CA,Centro,PI,Boa,40
518,2014-03-06T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,61
519,2014-03-06T15:00:00.000Z,BG,Bangu,O3,Regular,62
520,2014-03-06T15:00:00.000Z,AV,Copacabana,PI,Regular,65
521,2014-03-07T15:00:00.000Z,SC,São Cristóvão,PI,Boa,35
522,2014-03-07T15:00:00.000Z,CA,Centro,PI,Boa,36
523,2014-03-07T15:00:00.000Z,SP,Tijuca,O3,Boa,46
524,2014-03-07T15:00:00.000Z,CG,Campo Grande,O3,Boa,46
525,2014-03-07T15:00:00.000Z,IR,Irajá,O3,Regular,54
526,2014-03-07T15:00:00.000Z,AV,Copacabana,PI,Regular,56
527,2014-03-07T15:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,57
