OBJECTID,Data,Estação,Nome_Estação,Poluente,Classificação,IQAR
2204,2014-11-05T16:00:00.000Z,AV,Copacabana,PI,Regular,69
2205,2014-11-05T16:00:00.000Z,SP,Tijuca,O3,Regular,69
2206,2014-11-05T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,71
2207,2014-11-05T16:00:00.000Z,CG,Campo Grande,O3,Regular,76
2208,2014-11-05T16:00:00.000Z,IR,Irajá,O3,Regular,87
2209,2014-11-06T16:00:00.000Z,CA,Centro,PI,Boa,25
2210,2014-11-06T16:00:00.000Z,AV,Copacabana,PI,Boa,41
2211,2014-11-06T16:00:00.000Z,SC,São Cristóvão,O3,Boa,45
2212,2014-11-06T16:00:00.000Z,CG,Campo Grande,O3,Boa,46
2213,2014-11-06T16:00:00.000Z,SP,Tijuca,O3,Boa,49
2214,2014-11-06T16:00:00.000Z,IR,Irajá,O3,Regular,51
2215,2014-11-06T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,54
2216,2014-11-06T16:00:00.000Z,BG,Bangu,O3,Regular,57
2217,2014-11-07T16:00:00.000Z,BG,Bangu,O3,Inadequada,133
2218,2014-11-07T16:00:00.000Z,CA,Centro,O3,Boa,32
2219,2014-11-07T16:00:00.000Z,AV,Copacabana,PI,Boa,48
2220,2014-11-07T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,64
2221,2014-11-07T16:00:00.000Z,SC,São Cristóvão,O3,Regular,69
2222,2014-11-07T16:00:00.000Z,SP,Tijuca,O3,Regular,70
2223,2014-11-07T16:00:00.000Z,CG,Campo Grande,O3,Regular,76
2224,2014-11-07T16:00:00.000Z,IR,Irajá,O3,Regular,91
2225,2014-11-08T16:00:00.000Z,PG,Pedra de Guaratiba,PI,Boa,29
2226,2014-11-08T16:00:00.000Z,CA,Centro,PI,Boa,45
2227,2014-11-08T16:00:00.000Z,SC,São Cristóvão,O3,Regular,57
2228,2014-11-08T16:00:00.000Z,AV,Copacabana,PI,Regular,58
2229,2014-11-08T16:00:00.000Z,SP,Tijuca,O3,Regular,65
2230,2014-11-08T16:00:00.000Z,CG,Campo Grande,O3,Regular,71
2231,2014-11-08T16:00:00.000Z,IR,Irajá,O3,Regular,79
2232,2014-11-08T16:00:00.000Z,BG,Bangu,O3,Regular,83
2233,2014-11-09T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Boa,18
2234,2014-11-09T16:00:00.000Z,CA,Centro,O3,Boa,35
2235,2014-11-09T16:00:00.000Z,AV,Copacabana,PI,Boa,38
2236,2014-11-09T16:00:00.000Z,CG,Campo Grande,O3,Boa,45
2237,2014-11-09T16:00:00.000Z,SC,São Cristóvão,O3,Boa,47
2238,2014-11-09T16:00:00.000Z,SP,Tijuca,O3,Boa,49
2239,2014-11-09T16:00:00.000Z,IR,Irajá,O3,Regular,51
2240,2014-11-09T16:00:00.000Z,BG,Bangu,O3,Regular,62
2241,2014-11-10T16:00:00.000Z,PG,Pedra de Guaratiba,PI,Boa,16
2242,2014-11-10T16:00:00.000Z,CA,Centro,O3,Boa,27
2243,2014-11-10T16:00:00.000Z,AV,Copacabana,PI,Boa,34
2244,2014-11-10T16:00:00.000Z,SP,Tijuca,O3,Boa,37
2245,2014-11-10T16:00:00.000Z,SC,São Cristóvão,O3,Boa,40
2246,2014-11-10T16:00:00.000Z,CG,Campo Grande,O3,Boa,44
2247,2014-11-10T16:00:00.000Z,IR,Irajá,O3,Boa,48
2248,2014-11-10T16:00:00.000Z,BG,Bangu,O3,Regular,56
2249,2014-11-11T16:00:00.000Z,CA,Centro,O3,Boa,24
2250,2014-11-11T16:00:00.000Z,PG,Pedra de Guaratiba,PI,Boa,24
2251,2014-11-11T16:00:00.000Z,AV,Copacabana,O3,Boa,30
2252,2014-11-11T16:00:00.000Z,SP,Tijuca,O3,Boa,36
2253,2014-11-11T16:00:00.000Z,SC,São Cristóvão,O3,Boa,38
2254,2014-11-11T16:00:00.000Z,IR,Irajá,O3,Regular,51
2255,2014-11-11T16:00:00.000Z,BG,Bangu,O3,Regular,54
2256,2014-11-11T16:00:00.000Z,CG,Campo Grande,O3,Regular,54
2257,2014-11-12T16:00:00.000Z,CA,Centro,PI,Boa,26
2258,2014-11-12T16:00:00.000Z,AV,Copacabana,PI,Boa,35
2259,2014-11-12T16:00:00.000Z,SC,São Cristóvão,O3,Boa,42
2260,2014-11-12T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Boa,43
2261,2014-11-12T16:00:00.000Z,SP,Tijuca,O3,Boa,46
2262,2014-11-12T16:00:00.000Z,CG,Campo Grande,O3,Regular,59
2263,2014-11-12T16:00:00.000Z,IR,Irajá,O3,Regular,77
2264,2014-11-12T16:00:00.000Z,BG,Bangu,O3,Regular,95
2265,2014-11-13T16:00:00.000Z,CA,Centro,O3,Boa,41
2266,2014-11-13T16:00:00.000Z,AV,Copacabana,PI,Regular,52
2267,2014-11-13T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Regular,58
2268,2014-11-13T16:00:00.000Z,CG,Campo Grande,O3,Regular,71
2269,2014-11-13T16:00:00.000Z,SP,Tijuca,O3,Regular,72
2270,2014-11-13T16:00:00.000Z,SC,São Cristóvão,O3,Regular,80
2271,2014-11-13T16:00:00.000Z,BG,Bangu,O3,Regular,85
2272,2014-11-13T16:00:00.000Z,IR,Irajá,O3,Regular,96
2273,2014-11-14T16:00:00.000Z,CA,Centro,O3,Boa,32
2274,2014-11-14T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Boa,36
2275,2014-11-14T16:00:00.000Z,AV,Copacabana,PI,Boa,40
2276,2014-11-14T16:00:00.000Z,CG,Campo Grande,O3,Boa,47
2277,2014-11-14T16:00:00.000Z,SC,São Cristóvão,O3,Regular,58
2278,2014-11-14T16:00:00.000Z,BG,Bangu,O3,Regular,67
2279,2014-11-14T16:00:00.000Z,SP,Tijuca,O3,Regular,71
2280,2014-11-14T16:00:00.000Z,IR,Irajá,O3,Regular,81
2281,2014-11-15T16:00:00.000Z,CA,Centro,O3,Boa,27
2282,2014-11-15T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Boa,30
2283,2014-11-15T16:00:00.000Z,CG,Campo Grande,O3,Boa,31
2284,2014-11-15T16:00:00.000Z,AV,Copacabana,PI,Boa,33
2285,2014-11-15T16:00:00.000Z,SC,São Cristóvão,O3,Boa,35
2286,2014-11-15T16:00:00.000Z,SP,Tijuca,O3,Boa,38
2287,2014-11-15T16:00:00.000Z,BG,Bangu,O3,Boa,42
2288,2014-11-15T16:00:00.000Z,IR,Irajá,O3,Regular,55
2289,2014-11-16T16:00:00.000Z,CA,Centro,O3,Boa,21
2290,2014-11-16T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Boa,26
2291,2014-11-16T16:00:00.000Z,AV,Copacabana,PI,Boa,29
2292,2014-11-16T16:00:00.000Z,SC,São Cristóvão,O3,Boa,29
2293,2014-11-16T16:00:00.000Z,CG,Campo Grande,O3,Boa,29
2294,2014-11-16T16:00:00.000Z,BG,Bangu,O3,Boa,33
2295,2014-11-16T16:00:00.000Z,SP,Tijuca,NO2,Boa,34
2296,2014-11-16T16:00:00.000Z,IR,Irajá,NO2,Boa,35
2297,2014-11-17T16:00:00.000Z,CA,Centro,PI,Boa,21
2298,2014-11-17T16:00:00.000Z,PG,Pedra de Guaratiba,O3,Boa,28
2299,2014-11-17T16:00:00.000Z,SP,Tijuca,O3,Boa,31
2300,2014-11-17T16:00:00.000Z,AV,Copacabana,PI,Boa,33
2301,2014-11-17T16:00:00.000Z,SC,São Cristóvão,O3,Boa,34
2302,2014-11-17T16:00:00.000Z,CG,Campo Grande,O3,Boa,38
2303,2014-11-17T16:00:00.000Z,IR,Irajá,NO2,Boa,39
2304,2014-11-17T16:00:00.000Z,BG,Bangu,O3,Boa,46
2305,2014-11-18T16:00:00.000Z,CA,Centro,PI,Boa,20
