ARAÇOIABA DA SERRA,3502903,SAO PAULO (AEROPORTO CONGONHAS),SBSP,83780,104.56
ARAMINA,3503000,UBERABA (AEROPORTO),SBUR,83576,44.76
ARAMINA,3503000,FRANCA,SBFC,83630,62.93
ARAMINA,3503000,BARRETOS,SBBT,83625,94.76
ARANDU,3503109,BAURU (AEROPORTO),SBBU,83722,97.41
ARANDU,3503109,MARILHA - SP,SBML,-,141.48
ARANDU,3503109,ASSIS - S,SBAS,-,152.88
ARAPEÍ,3503158,RESENDE,SBRS,83738,23.69
ARAPEÍ,3503158,GUARATINGUETA (AEROPORTO),SBGW,83708,78.25
ARAPEÍ,3503158,SANTA CRUZ (BORTOLOMEU GUSMAO AERO),SBSC,83115,78.72
ARARAQUARA,3503208,ARARAQUARA-S,SBAQ,-,5.41
ARARAQUARA,3503208,GAVIAO PEIXOTO,SBGP,-,22.67
ARARAQUARA,3503208,SAO CARLOS,SBSA,83726,40.92
ARARAS,3503307,PIRASSUNUNGA,SBYS,83671,41.75
ARARAS,3503307,SAO CARLOS,SBSA,83726,67.43
ARARAS,3503307,CAMPINAS (AEROPORTO),SBKP,83721,75.55
ARCO-ÍRIS,3503356,MARILHA - SP,SBML,-,70.08
ARCO-ÍRIS,3503356,ARACATUBA,SBAU,83672,70.59
ARCO-ÍRIS,3503356,LINS,SBLN,83674,71.17
AREALVA,3503406,BAURU (AEROPORTO),SBBU,83722,29.71
AREALVA,3503406,GAVIAO PEIXOTO,SBGP,-,68.07
AREALVA,3503406,LINS,SBLN,83674,91.17
AREIAS,3503505,RESENDE,SBRS,83738,33.86
AREIAS,3503505,GUARATINGUETA (AEROPORTO),SBGW,83708,50.94
AREIAS,3503505,PINDAMONHANGABA,SBPW,83706,85.08
AREIÓPOLIS,3503604,BAURU (AEROPORTO),SBBU,83722,55.07
AREIÓPOLIS,3503604,GAVIAO PEIXOTO,SBGP,-,99.49
AREIÓPOLIS,3503604,SAO CARLOS,SBSA,83726,105.65
ARIRANHA,3503703,BARRETOS,SBBT,83625,70.26
ARIRANHA,3503703,GAVIAO PEIXOTO,SBGP,-,75.61
ARIRANHA,3503703,SAO JOSE DO RIO PRET,SBSR,-,77.57
